repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
claudiodangelis/qrcp,Go,10409,https://github.com/claudiodangelis/qrcp,FAILURE,GoModules,True,GitHub Actions,d14719d901baf52a32a479f3fc0cb8ef8cfd85ac,2024-12-27T15:25:47Z
cloudflare/cfssl,Go,9360,https://github.com/cloudflare/cfssl,FAILURE,GoModules,True,GitHub Actions,91b63b5bb6cc84899849f1aa352c3a44e66b42b9,2024-10-15T19:24:44Z
cockroachdb/cockroach,Go,31832,https://github.com/cockroachdb/cockroach,SUCCESS,GoModules,True,GitHub Actions,e3829a0e615c49db0b50c25da18a2efcf8c3e425,2025-12-01T07:03:39Z
concourse/concourse,Go,7745,https://github.com/concourse/concourse,SUCCESS,GoModules,True,GitHub Actions,b661e76d04cba7b589aa4b6a72a4ffc1d7ef035c,2024-12-16T20:08:51Z
containerd/containerd,Go,20219,https://github.com/containerd/containerd,FAILURE,GoModules,True,GitHub Actions,e0459262ba8b52e936b3b2e555e7faeab846b600,2024-12-09T01:38:39Z
containernetworking/cni,Go,5959,https://github.com/containernetworking/cni,FAILURE,GoModules,True,GitHub Actions,5f84615a5df9c929fd696cb8965aa6fa34ee8c66,2025-01-16T00:33:03Z
containers/buildah,Go,8594,https://github.com/containers/buildah,FAILURE,GoModules,True,GitHub Actions,996c49d8ec3c34555d9f90cdbdb125cc8b01efdc,2025-01-07T13:09:50Z
containers/podman,Go,30641,https://github.com/containers/podman,FAILURE,GoModules,True,GitHub Actions,cbd650212a8804a5e5802e37a2f207669de88723,2024-12-18T12:31:46Z
containers/skopeo,Go,10424,https://github.com/containers/skopeo,FAILURE,GoModules,True,GitHub Actions,bf5987896a1facb4b5c6beb64239fdb5a7c19744,2024-12-23T10:09:32Z
traefik/traefik,Go,61547,https://github.com/traefik/traefik,SUCCESS,GoModules,True,GitHub Actions,278e7392421f1e4a5a20f6723d20cbf18eca730a,2024-12-30T15:08:03Z
traefik/yaegi,Go,8051,https://github.com/traefik/yaegi,SUCCESS,GoModules,True,GitHub Actions,14d3137e98f439fac98c51b85480b941cb5dc0c8,2025-01-08T11:00:23Z
contribsys/faktory,Go,6081,https://github.com/contribsys/faktory,SUCCESS,GoModules,True,GitHub Actions,295d58fa6588b1a1eff080f0662d7935d9e17cac,2025-01-14T22:22:59Z
convox/rack,Go,1894,https://github.com/convox/rack,FAILURE,GoModules,True,GitHub Actions,b8d72a6f5e90df495d4dc457da3dc3a20420fb5c,2024-11-12T20:21:56Z
cookieY/Yearning,Go,8917,https://github.com/cookieY/Yearning,SUCCESS,GoModules,True,GitHub Actions,0b6d500584bf89b9d2e45989085b142eaf0600a9,2024-11-08T02:19:34Z
coredns/coredns,Go,13803,https://github.com/coredns/coredns,SUCCESS,GoModules,True,GitHub Actions,d8ecde1080e7cbbeb98257ba4e03a271f16b4cd9,2025-01-21T08:41:38Z
