repo,language,stars,path,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
benoitc/gunicorn,Python,10427,https://github.com/benoitc/gunicorn,SUCCESS,Pip/Poetry,True,GitHub Actions,02e5f64c76db6d33ffb22448a7f35d7aececf51d,2025-03-11T11:16:17Z
biolab/orange3,Python,5541,https://github.com/biolab/orange3,SUCCESS,Pip/Poetry,True,GitHub Actions,27a6c619bc083fc69ae1e49ac5ac5b5506518539,2024-10-15T08:40:53Z
biopython/biopython,Python,4895,https://github.com/biopython/biopython,FAILURE,Setup.py,True,GitHub Actions,180d8a6e69fbbdc7e3db52122a18a7e3a306b1e6,2025-03-22T05:59:36Z
bndr/pipreqs,Python,7419,https://github.com/bndr/pipreqs,FAILURE,Pip/Poetry,True,GitHub Actions,2ef6a981d54276a68b7288fec9801df29a667a7f,2025-04-08T08:56:33Z
Bogdanp/dramatiq,Python,5128,https://github.com/Bogdanp/dramatiq,SUCCESS,Pip/Poetry,True,GitHub Actions,a978028742f1159391799716be411ffc34688eba,2025-01-25T06:55:51Z
borgbackup/borg,Python,12951,https://github.com/borgbackup/borg,PENDING,Pip/Poetry,True,GitHub Actions,ec3c7b5770c24a66a98cc26528a3728c255844f8,2024-12-27T22:10:43Z
boto/boto3,Python,9682,https://github.com/boto/boto3,SUCCESS,Pip/Poetry,True,GitHub Actions,bdae5ec2551a4bf26a708568d4b41db1deedba9b,2024-12-26T19:14:09Z
bottlepy/bottle,Python,8747,https://github.com/bottlepy/bottle,SUCCESS,Pip/Poetry,True,GitHub Actions,c65347fb43846976f7bc827eec90fe307212ec05,2025-02-15T09:59:11Z
brack3t/django-braces,Python,2009,https://github.com/brack3t/django-braces,SUCCESS,Pip/Poetry,True,GitHub Actions,befd07bef378404fad8d8ac4b4ba6b40e94a0180,2025-03-07T23:19:19Z
budtmo/docker-android,Python,14255,https://github.com/budtmo/docker-android,SUCCESS,Unknown,False,GitHub Actions,f33fc1906cdf5ef93b28dab6247faf5e19cb0a99,2025-01-11T16:27:32Z
buildbot/buildbot,Python,5431,https://github.com/buildbot/buildbot,FAILURE,Pip/Poetry,True,GitHub Actions,9a5b5527a20b487e27f58d9e85fe77b6de698809,2025-01-04T18:49:38Z
buriy/python-readability,Python,2886,https://github.com/buriy/python-readability,FAILURE,Pip/Poetry,True,GitHub Actions,956bfbbe46597cdb678ab54e5b1dfada0e26da13,2025-01-12T20:02:49Z
burnash/gspread,Python,7446,https://github.com/burnash/gspread,FAILURE,Pip/Poetry,True,GitHub Actions,7dfd7ab0cfe8eb2fed66eab9a6d38dd48141e0a2,2025-02-12T16:02:14Z
carltongibson/django-filter,Python,4680,https://github.com/carltongibson/django-filter,SUCCESS,Pip/Poetry,True,GitHub Actions,2a644e176634ec0ce99d9446d980501e9763e194,2024-12-28T09:50:42Z
caronc/apprise,Python,15800,https://github.com/caronc/apprise,SUCCESS,Pip/Poetry,True,GitHub Actions,f89293647aa2895ccb01f4c296024c0172b16344,2024-12-31T17:36:39Z
CCOSTAN/Home-AssistantConfig,Python,5168,https://github.com/CCOSTAN/Home-AssistantConfig,NO_CI,Unknown,False,GitHub Actions,82b4ac40efda44f8a876915713f9084ee27692bd,2024-12-28T19:32:48Z
motioneye-project/motioneye,Python,4505,https://github.com/motioneye-project/motioneye,SUCCESS,Pip/Poetry,True,GitHub Actions,a8c5ac136e9eefd2cdf92867d75c1a1effbca9bf,2025-01-02T04:50:03Z
ccxt/ccxt,Python,40888,https://github.com/ccxt/ccxt,SUCCESS,Pip/Poetry,True,GitHub Actions,6839415095ea0d773b686037971dc71ce45c0f48,2025-10-01T10:02:36Z
cdhigh/KindleEar,Python,2836,https://github.com/cdhigh/KindleEar,SUCCESS,Pip/Poetry,True,GitHub Actions,68df0414515a190598bd1504d1610a87d24f3f39,2024-12-25T23:29:43Z
ivre/ivre,Python,3942,https://github.com/ivre/ivre,SUCCESS,Pip/Poetry,True,GitHub Actions,0716fb18b7de5a03bb7f60d55178dec4a97e3994,2025-01-12T17:29:56Z
cea-sec/miasm,Python,3820,https://github.com/cea-sec/miasm,SUCCESS,Pip/Poetry,True,GitHub Actions,d9fb6d58c71b388709058fe28b72205fd5ea0061,2025-01-26T12:17:14Z
celery/celery,Python,27992,https://github.com/celery/celery,SUCCESS,Pip/Poetry,True,GitHub Actions,fe761416f4d9269b780a13cc1131e2a16945937f,2025-01-14T11:19:35Z
celery/kombu,Python,3100,https://github.com/celery/kombu,SUCCESS,Pip/Poetry,True,GitHub Actions,2c3d4f3a43ae01fe4bc49d1a8312778b938ead21,2025-01-14T09:31:21Z
certbot/certbot,Python,32820,https://github.com/certbot/certbot,SUCCESS,Unknown,False,GitHub Actions,314838eb81a39b1249fff23bc5e694c3e78094d1,2024-12-19T19:37:09Z
certifi/python-certifi,Python,956,https://github.com/certifi/python-certifi,SUCCESS,Pip/Poetry,True,GitHub Actions,82284ed1f981c6a3ba4ef9de739cd32918e70a26,2024-12-30T23:15:37Z
chardet/chardet,Python,2321,https://github.com/chardet/chardet,SUCCESS,Pip/Poetry,True,GitHub Actions,8e8dfcd93c572c2cbe37585e01662a90b16fbab6,2025-01-13T22:33:21Z
chipsec/chipsec,Python,3182,https://github.com/chipsec/chipsec,SUCCESS,Setup.py,True,GitHub Actions,088a2ca69ce134bfb6a34870da6f3de390d00fdf,2025-03-12T03:45:54Z
chubin/wttr.in,Python,28746,https://github.com/chubin/wttr.in,SUCCESS,Pip/Poetry,True,GitHub Actions,c90d489c8321c7c0b3377dbb5626731b690c1af0,2025-08-05T18:27:02Z
ckan/ckan,Python,4951,https://github.com/ckan/ckan,FAILURE,Pip/Poetry,True,GitHub Actions,3e9ed284fbbbac31061a8faf32abcac9ebe2ea42,2024-12-18T19:00:53Z
cloud-custodian/cloud-custodian,Python,5925,https://github.com/cloud-custodian/cloud-custodian,SUCCESS,Pip/Poetry,True,GitHub Actions,02ee6d0596cd0157ee1e0dc3b6ba5711caf55d51,2025-01-06T01:16:27Z
cloudevents/spec,Python,5677,https://github.com/cloudevents/spec,SUCCESS,Unknown,False,GitHub Actions,fed55696ea3cb7ff34be3be433819d2865432464,2025-01-14T13:23:45Z
cloudflare/flan,Python,4147,https://github.com/cloudflare/flan,SUCCESS,Pip/Poetry,True,GitHub Actions,6588b07751f14180ba151842458b97510490fa58,2024-09-20T01:54:05Z
cloudtools/troposphere,Python,4953,https://github.com/cloudtools/troposphere,FAILURE,Pip/Poetry,True,GitHub Actions,dbb8ed003c3ddaa7e279ba823ec1f78e6060e13e,2025-01-14T23:36:59Z
cobbler/cobbler,Python,2742,https://github.com/cobbler/cobbler,FAILURE,Pip/Poetry,True,GitHub Actions,08596a730283053b3f5976595ad060a6e31d8e54,2024-07-22T20:45:51Z
coleifer/huey,Python,5922,https://github.com/coleifer/huey,SUCCESS,Pip/Poetry,True,GitHub Actions,5da909af52455ede879b42342891f7bfe4383a71,2024-12-29T15:52:44Z
coleifer/peewee,Python,11930,https://github.com/coleifer/peewee,SUCCESS,Pip/Poetry,True,GitHub Actions,60bcd81e861d90835a8d041f6d54ecc9a96df089,2025-02-05T16:26:27Z
commaai/openpilot,Python,60048,https://github.com/commaai/openpilot,SUCCESS,Pip/Poetry,True,GitHub Actions,9cf02ca8db5405d0464d5d9a6a81c9aee479c3e1,2024-12-27T04:22:44Z
