repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
cloudflare/boringtun,Rust,6895,https://github.com/cloudflare/boringtun,SUCCESS,Cargo,True,GitHub Actions,2bed5ed99b8624466b7ba1e6bb3179bd8a113399,2025-04-06T14:16:14Z
cloudflare/quiche,Rust,11239,https://github.com/cloudflare/quiche,SUCCESS,Cargo,True,GitHub Actions,57915e6622c38e2c1b3cc0af506f28c2d7fcb7c1,2025-01-07T12:02:42Z
qltysh/qlty,Rust,2947,https://github.com/qltysh/qlty,SUCCESS,Cargo,True,GitHub Actions,223f8d34526d720b665345667de1c555e4b52136,2025-12-23T16:56:31Z
crossbeam-rs/crossbeam,Rust,8293,https://github.com/crossbeam-rs/crossbeam,SUCCESS,Cargo,True,GitHub Actions,17fb8417a83a2694b6f8a37198cd20b34b621baf,2025-01-02T13:42:21Z
rustls/rustls,Rust,7234,https://github.com/rustls/rustls,SUCCESS,Cargo,True,GitHub Actions,16a0726e5585609208f30c9b35b05b809dd7ac07,2024-12-31T14:41:22Z
cube-js/cube,Rust,19440,https://github.com/cube-js/cube,PENDING,Unknown,False,GitHub Actions,e1911d4ff4c754d7d7e0d3f2bd6116d7531004c8,2024-12-19T18:32:02Z
a-b-street/abstreet,Rust,8099,https://github.com/a-b-street/abstreet,SUCCESS,Cargo,True,GitHub Actions,08ba76352474969492bce1331a7bf50cebf7a869,2025-01-09T10:00:19Z
dani-garcia/vaultwarden,Rust,54776,https://github.com/dani-garcia/vaultwarden,SUCCESS,Cargo,True,GitHub Actions,d9b043d32ccd5ae25ef7db99c042fd0adc9b4a9f,2024-12-29T20:26:03Z
denisidoro/navi,Rust,16713,https://github.com/denisidoro/navi,SUCCESS,Cargo,True,GitHub Actions,805fe125dadc82c3aad54012b695bd479914ce1d,2025-01-03T11:11:05Z
denoland/deno,Rust,106114,https://github.com/denoland/deno,FAILURE,Cargo,True,GitHub Actions,f4e321342f0b0e574beeff9f779db185afeab101,2024-12-26T08:01:39Z
diesel-rs/diesel,Rust,13938,https://github.com/diesel-rs/diesel,SUCCESS,Cargo,True,GitHub Actions,8ff6c0447d4f5aa1ffe6387c42df801d19666c7c,2024-12-25T19:12:21Z
facebook/relay,Rust,18933,https://github.com/facebook/relay,FAILURE,Unknown,False,GitHub Actions,4798edf5ac5906941cf9eaf815e10b182f89a9a1,2025-01-04T00:46:33Z
fastly/pushpin,Rust,3829,https://github.com/fastly/pushpin,SUCCESS,Cargo,True,GitHub Actions,56936a96f2c252aa93e2cfcc3b34a304d905e431,2025-01-07T19:39:08Z
firecracker-microvm/firecracker,Rust,32371,https://github.com/firecracker-microvm/firecracker,PENDING,Cargo,True,GitHub Actions,283e5749c2343c58955ad29232372c7b7766246a,2025-08-14T10:44:33Z
fish-shell/fish-shell,Rust,32531,https://github.com/fish-shell/fish-shell,SUCCESS,Cargo,True,GitHub Actions,143a4aca0f64e8b37762c37b58223cc93364115c,2025-11-03T08:17:00Z
rust-bakery/nom,Rust,10294,https://github.com/rust-bakery/nom,SUCCESS,Cargo,True,GitHub Actions,d3d254034bd490b8b12457cac805a1967cf303c1,2025-01-29T08:25:06Z
getzola/zola,Rust,16589,https://github.com/getzola/zola,FAILURE,Cargo,True,GitHub Actions,cbd809ad27ea026cede45ae7845f48017a2700d5,2024-12-26T11:26:17Z
ggez/ggez,Rust,4592,https://github.com/ggez/ggez,SUCCESS,Cargo,True,GitHub Actions,34939574bd35a0270f7b197e8817daf29dc7de0c,2024-12-28T00:03:25Z
gjtorikian/commonmarker,Rust,533,https://github.com/gjtorikian/commonmarker,NO_CI,Cargo,True,GitHub Actions,c3ad8e92755e5aeaa65d5634d8f86464a7a1e42f,2024-12-29T16:10:31Z
glium/glium,Rust,3607,https://github.com/glium/glium,SUCCESS,Cargo,True,GitHub Actions,b698ad31a1c64d2c3837a9fc80cfe5e234c7a39f,2025-05-09T14:02:14Z
graphql-rust/juniper,Rust,5941,https://github.com/graphql-rust/juniper,SUCCESS,Cargo,True,GitHub Actions,5bda80ed525f2708f8d88da3b9ebf3a781f93e2d,2025-01-02T14:05:28Z
habitat-sh/habitat,Rust,2785,https://github.com/habitat-sh/habitat,FAILURE,Cargo,True,GitHub Actions,7f5f1719fef9bdee7d828e42ce78b08b392cf493,2024-12-27T04:21:31Z
harababurel/gcsf,Rust,2378,https://github.com/harababurel/gcsf,SUCCESS,Cargo,True,GitHub Actions,db70c5502601745227b5992325f944340d09394f,2025-12-18T10:13:32Z
iced-rs/iced,Rust,29424,https://github.com/iced-rs/iced,SUCCESS,Cargo,True,GitHub Actions,bfab1a32d1d50875875800413b6f399689ec6d04,2025-01-06T19:13:51Z
huggingface/tokenizers,Rust,10461,https://github.com/huggingface/tokenizers,SUCCESS,Unknown,False,GitHub Actions,166edd87c8d9d2d1b4bec320c7688c61a7a4c066,2025-01-08T11:31:17Z
hyperium/hyper,Rust,15916,https://github.com/hyperium/hyper,SUCCESS,Cargo,True,GitHub Actions,e981a91e68aa92b0dee771362de771daa31c713e,2025-01-07T14:05:13Z
hyperium/tonic,Rust,11816,https://github.com/hyperium/tonic,SUCCESS,Cargo,True,GitHub Actions,e4e34c363b8dede682662555b6d387564deab2fc,2025-01-01T01:58:26Z
ImageOptim/gifski,Rust,5401,https://github.com/ImageOptim/gifski,FAILURE,Cargo,True,GitHub Actions,decef27929a6248477ecb429d9e85317e21f96b2,2025-01-31T00:55:42Z
imazen/imageflow,Rust,4367,https://github.com/imazen/imageflow,SUCCESS,Cargo,True,GitHub Actions,a73dae809fc30df1fc380001099f5b270d8e9e0e,2025-01-20T22:23:36Z
imsnif/bandwhich,Rust,11523,https://github.com/imsnif/bandwhich,FAILURE,Cargo,True,GitHub Actions,138a86baa91c079b92a63dafdcc9ed0f9b696d30,2025-07-10T03:14:15Z
influxdata/influxdb,Rust,31214,https://github.com/influxdata/influxdb,SUCCESS,Cargo,True,GitHub Actions,76aee4a478d7eb9097e24d895a18b2a695235759,2025-01-13T14:23:43Z
ivanceras/svgbob,Rust,4130,https://github.com/ivanceras/svgbob,SUCCESS,Cargo,True,GitHub Actions,ab2579c2c3d2a66f3cdad38a008560de90d1b853,2024-12-03T11:46:08Z
jhspetersson/fselect,Rust,4387,https://github.com/jhspetersson/fselect,SUCCESS,Cargo,True,GitHub Actions,f1404a652a1db34e34ad989fb86f879c10383eac,2024-12-26T18:18:57Z
jmacdonald/amp,Rust,4014,https://github.com/jmacdonald/amp,SUCCESS,Cargo,True,GitHub Actions,b245baded326ea989633ea81384656379bee3f3a,2025-05-30T12:48:27Z
